artifact_status	superseded_by	supersession_reason	compartment	compartment_label	window_days	omitted_trip	n_site_campaigns	estimate_per_mm	ci_low	ci_high	p
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	1	1	144	-3.807790521665265e-11	-8.828474057428984e-11	1.2128930140984545e-11	0.13715290749502548
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	1	2	194	-0.005098198184096472	-0.34280073279498074	0.3326043364267878	0.9763948275033489
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	1	3	140	0.1429466274403478	-0.2358986023443963	0.5217918572250919	0.4595806976678215
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	1	4	138	-0.01123424045714197	-0.32172916924528727	0.2992606883310033	0.943465510727412
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	1	5	176	-0.03515194596203408	-0.37155467610965787	0.3012507841855897	0.837725439790394
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	3	1	144	-3.807790521665265e-11	-8.828474057428984e-11	1.2128930140984545e-11	0.13715290749502548
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	3	2	194	0.11072571547452656	-0.032407828895309104	0.2538592598443622	0.1294699633628683
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	3	3	140	0.2161567168385411	0.028090022209203314	0.4042234114678789	0.02427755530064513
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	3	4	138	0.050782769175016305	-0.0879548270474387	0.18952036539747133	0.4731182179148764
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	3	5	176	0.1017207168976011	-0.043397411045396045	0.24683884484059823	0.16949167520570452
